DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
Unknown,Croydon Hybrid Facility - Solar And BESS,QLD1,Solar PV,Semi-scheduled,500.0,Publicly Announced,2028.0,,
CRURWF1,Crudine Ridge Wind Farm,NSW1,Wind,Semi-scheduled,3.83,In Service,,,
Unknown,Culcairn BESS,NSW1,Battery Storage,Scheduled,350.0,Publicly Announced,,,
Unknown,Culcairn BESS,NSW1,Battery Storage,Scheduled,200.0,Anticipated,2027.0,,
CUSF1,Culcairn Solar Farm,NSW1,Solar PV,Semi-scheduled,3.15,In Service,,,
CULLRGWF,Cullerin Range Wind Farm,NSW1,Wind,Significant Non-scheduled,2.0,In Service,,,
Unknown,Dalby Solar Farm,QLD1,Solar PV,Non-scheduled,4.94,Publicly Announced,,,
DALNTH1,Dalrymple BESS,SA1,Battery Storage,Scheduled,2.5,In Service,,,
Unknown,Dalvui BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Dangarsleigh Wind,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,2034.0,,
Unknown,Dapper Solar Farm,NSW1,Solar PV,Semi-scheduled,4.2,Publicly Announced,,,
DDPS1,Darling Downs,QLD1,Gas Turbine,Scheduled,280.0,In Service,,,
DDPS1,Darling Downs,QLD1,Gas Turbine,Scheduled,121.5,In Service,,,
DDPS1,Darling Downs,QLD1,Gas Turbine,Scheduled,121.5,In Service,,,
DDPS1,Darling Downs,QLD1,Gas Turbine,Scheduled,121.5,In Service,,,
Unknown,Darling Downs Battery,QLD1,Battery Storage,Scheduled,250.0,Publicly Announced,2028.0,,
Unknown,Darling Downs Battery,QLD1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Darling Downs BESS (APA),QLD1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
Unknown,Darling Downs Power Station 2,QLD1,Gas Turbine,Scheduled,500.0,Publicly Announced,,,
DDSF1,Darling Downs Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
DPNTB1,Darlington Point Energy Storage System,NSW1,Battery Storage,Scheduled,1.56,In Service,,,
DARLSF1,Darlington Point Solar Farm,NSW1,Solar PV,Semi-scheduled,2.55,In Service,,,
Unknown,Darlington Wind Farm - GPG,VIC1,Wind,Semi-scheduled,7.2,Publicly Announced,,,
Unknown,Darnum BESS,VIC1,Battery Storage,Scheduled,1.15,Publicly Announced,2028.0,,
Unknown,Daroobalgie Solar Farm,NSW1,Solar PV,Semi-scheduled,1.89,Publicly Announced,2034.0,,
DARTM1,Dartmouth,VIC1,Hydro,Scheduled,185.0,In Service,,,
Unknown,Dawson Wind Farm,QLD1,Wind,Semi-scheduled,560.0,Publicly Announced,,,
DAYDSF1,Daydream Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Deal 1 (West) Off Shore Wind Farm,VIC1,Wind,Semi-scheduled,18.0,Publicly Announced,,,
Unknown,Deal 2 (East) Off Shore Wind Farm,VIC1,Wind,Semi-scheduled,14.0,Publicly Announced,,,
